ax,ay,az,gx,gy,gz,date_time,temp,pressure
,,,,,,2017-4-3	17:4:51,,
0.164062,-0.0371094,0.96875,2.2583,5.5542,-0.396729,,,
0.160156,-0.0390625,0.974609,1.92261,2.28882,0.274658,,,
0.160156,-0.0332031,0.960938,1.80054,2.28882,0.366211,,,
0.15625,-0.0332031,0.958984,1.52588,2.16675,0.274658,,,
0.171875,-0.03125,0.957031,1.80054,2.53296,0.0610352,,,
0.160156,-0.0390625,0.953125,1.70898,2.53296,0.213623,,,
0.164062,-0.0234375,0.9375,1.43433,2.38037,0.244141,,,
0.160156,-0.0234375,0.953125,1.19019,2.34985,0.152588,,,
0.15625,-0.0234375,0.962891,1.31226,2.53296,0.0915527,,,
0.164062,-0.0273438,0.945312,1.2207,2.38037,0.12207,,,
0.167969,-0.0351562,0.960938,1.49536,2.28882,0.244141,,,
0.183594,-0.0234375,0.966797,1.40381,2.19727,0.12207,,,
0.160156,-0.0234375,0.955078,1.31226,2.22778,0.274658,,,
0.175781,-0.0410156,0.957031,1.40381,2.31934,0.305176,,,
0.164062,-0.0371094,0.96875,1.64795,2.19727,0.152588,,,
0.164062,-0.0273438,0.957031,1.49536,2.38037,0.274658,,,
0.164062,-0.0449219,0.964844,1.43433,2.50244,0.152588,,,
0.164062,-0.015625,0.978516,1.37329,2.31934,0.244141,,,
0.160156,-0.0273438,0.962891,1.31226,2.19727,0.335693,,,
0.179688,-0.0351562,0.953125,1.77002,2.19727,0.244141,,,
0.167969,-0.0546875,0.964844,1.5564,2.04468,0.183105,,,
0.160156,-0.0273438,0.962891,1.31226,2.22778,0.335693,,,
0.160156,-0.0410156,0.9375,1.61743,2.31934,0.152588,,,
0.183594,-0.0449219,0.964844,1.64795,2.44141,0.213623,,,
0.183594,-0.0390625,0.966797,1.58691,2.31934,0.274658,,,
0.164062,-0.03125,0.947266,1.43433,2.31934,0.183105,,,
0.160156,-0.046875,0.958984,1.28174,2.19727,0.152588,,,
0.183594,-0.03125,0.951172,1.49536,2.41089,0.335693,,,
0.164062,-0.0390625,0.960938,1.34277,2.19727,0.0915527,,,
0.15625,-0.0234375,0.955078,1.58691,2.19727,0.152588,,,
0.15625,-0.03125,0.945312,1.31226,2.2583,0.213623,,,
0.183594,-0.0234375,0.951172,1.19019,2.2583,0.274658,,,
0.164062,-0.0371094,0.958984,1.28174,2.28882,0.274658,,,
0.183594,-0.0371094,0.957031,1.37329,2.19727,0.335693,,,
0.160156,-0.0195312,0.951172,1.43433,2.28882,0.396729,,,
0.160156,-0.0351562,0.951172,1.49536,2.0752,0.213623,,,
0.160156,-0.0488281,0.964844,1.80054,2.16675,0.152588,,,
0.179688,-0.0273438,0.951172,1.61743,2.28882,0.213623,,,
0.164062,-0.0273438,0.953125,1.70898,2.31934,0.213623,,,
0.164062,-0.03125,0.947266,1.52588,2.34985,0.305176,,,
0.183594,-0.0390625,0.962891,1.19019,2.10571,0.152588,,,
0.179688,-0.03125,0.9375,1.40381,2.16675,0.152588,,,
0.15625,-0.03125,0.943359,1.95312,2.44141,0.213623,,,
0.164062,-0.0351562,0.966797,2.04468,2.56348,0.213623,,,
0.183594,-0.0390625,0.951172,1.43433,2.2583,0.274658,,,
0.160156,-0.0371094,0.9375,1.34277,2.53296,0.183105,,,
0.160156,-0.0488281,0.945312,1.70898,2.65503,0.0305176,,,
0.164062,-0.0410156,0.9375,1.46484,2.34985,0.213623,,,
0.160156,-0.03125,0.949219,1.64795,2.34985,0.335693,,,
0.15625,-0.0273438,0.958984,1.37329,2.10571,0.213623,,,
0.15625,-0.0429688,0.966797,1.19019,2.41089,0.12207,,,
0.160156,-0.046875,0.962891,1.52588,2.34985,0.213623,,,
0.171875,-0.0410156,0.960938,1.34277,2.13623,0.213623,,,
0.15625,-0.0449219,0.958984,1.52588,1.98364,0.305176,,,
0.15625,-0.0429688,0.958984,1.34277,2.16675,0.274658,,,
0.160156,-0.0390625,0.957031,1.5564,2.34985,0.183105,,,
0.167969,-0.0351562,0.960938,1.77002,2.47192,0.183105,,,
0.183594,-0.0410156,0.953125,1.49536,2.19727,0.152588,,,
0.160156,-0.0390625,0.964844,1.28174,2.22778,0.244141,,,
0.160156,-0.0351562,0.951172,1.5564,2.19727,0.274658,,,
0.15625,-0.0410156,0.957031,1.5564,2.44141,0.366211,,,
0.15625,-0.0371094,0.953125,1.43433,2.22778,0.183105,,,
0.164062,-0.0488281,0.966797,1.40381,2.31934,0.183105,,,
0.164062,-0.0351562,0.962891,1.61743,1.98364,0.305176,,,
0.15625,-0.0410156,0.957031,1.58691,2.50244,0.183105,,,
0.164062,-0.0449219,0.966797,1.43433,2.34985,0,,,
0.160156,-0.0332031,0.955078,1.31226,2.31934,0.152588,,,
0.179688,-0.0273438,0.957031,1.34277,2.2583,0.213623,,,
0.179688,-0.015625,0.953125,1.46484,2.16675,0.335693,,,
0.179688,-0.0371094,0.964844,1.40381,2.41089,0.213623,,,
0.167969,-0.015625,0.966797,1.46484,2.22778,0.274658,,,
0.164062,-0.0195312,0.962891,1.37329,2.38037,0.335693,,,
0.183594,-0.0234375,0.962891,1.31226,2.38037,0.183105,,,
0.183594,-0.0273438,0.962891,1.40381,2.13623,0.0610352,,,
0.160156,-0.03125,0.964844,1.58691,2.34985,0.213623,,,
0.179688,-0.0449219,0.960938,1.43433,2.53296,0.244141,,,
0.15625,-0.0371094,0.957031,1.49536,2.47192,0.396729,,,
0.15625,-0.0234375,0.953125,1.67847,2.22778,0.457764,,,
0.160156,-0.0234375,0.941406,1.5564,2.34985,0.274658,,,
0.160156,-0.03125,0.953125,1.43433,2.38037,0.274658,,,
0.160156,-0.0371094,0.955078,1.52588,2.28882,0.213623,,,
0.164062,-0.03125,0.9375,1.34277,2.2583,0.213623,,,
0.164062,-0.0429688,0.949219,1.43433,2.28882,0.183105,,,
0.179688,-0.0449219,0.966797,1.49536,2.34985,0.213623,,,
0.160156,-0.0332031,0.962891,1.61743,2.34985,0.213623,,,
0.183594,-0.0390625,0.964844,1.77002,2.44141,0.213623,,,
0.15625,-0.03125,0.947266,1.70898,2.41089,0.274658,,,
0.183594,-0.0234375,0.966797,1.43433,2.47192,0.335693,,,
0.164062,-0.0410156,0.943359,1.31226,2.47192,0.152588,,,
0.183594,-0.0449219,0.945312,1.61743,2.31934,0.183105,,,
0.15625,-0.0429688,0.943359,1.43433,2.28882,0.0610352,,,
0.15625,-0.03125,0.943359,1.61743,2.34985,0.213623,,,
0.164062,-0.0449219,0.939453,1.61743,2.2583,0.274658,,,
0.171875,-0.03125,0.960938,1.70898,2.2583,0.0305176,,,
0.171875,-0.0195312,0.960938,1.37329,2.19727,0.12207,,,
0.183594,-0.015625,0.966797,1.61743,2.47192,0.213623,,,
0.167969,-0.0429688,0.945312,1.5564,2.19727,0.244141,,,
0.167969,-0.0449219,0.962891,1.58691,2.28882,0.12207,,,
0.160156,-0.0195312,0.955078,1.67847,2.28882,0.274658,,,
0.175781,-0.0371094,0.964844,1.61743,2.28882,0.335693,,,
0.183594,-0.0507812,0.955078,1.28174,2.28882,0.274658,,,
0.179688,-0.03125,0.949219,1.12915,2.22778,0.213623,,,
0.160156,-0.0273438,0.9375,1.34277,2.53296,0.244141,,,
0.179688,-0.0273438,0.943359,1.58691,2.41089,0.244141,,,
0.171875,-0.0429688,0.9375,1.80054,2.44141,0.0610352,,,
0.160156,-0.0390625,0.962891,1.5564,2.22778,0.213623,,,
0.179688,-0.0410156,0.949219,1.64795,2.10571,0.152588,,,
0.171875,-0.0507812,0.949219,1.80054,2.2583,0.213623,,,
0.179688,-0.03125,0.957031,1.77002,2.22778,0.183105,,,
0.167969,-0.0371094,0.941406,1.61743,2.38037,0.0610352,,,
0.164062,-0.0351562,0.960938,1.64795,2.16675,0.152588,,,
0.15625,-0.03125,0.941406,1.49536,2.34985,0.274658,,,
0.167969,-0.0488281,0.941406,1.89209,2.28882,0.0305176,,,
0.179688,-0.0273438,0.955078,1.80054,2.53296,0.0610352,,,
0.164062,-0.0371094,0.9375,1.64795,2.31934,0.213623,,,
0.160156,-0.0527344,0.941406,1.43433,2.04468,0.305176,,,
0.179688,-0.0351562,0.966797,1.61743,2.13623,0.335693,,,
0.171875,-0.015625,0.957031,1.34277,2.13623,0.427246,,,
0.175781,-0.0351562,0.964844,1.43433,2.34985,0.213623,,,
0.164062,-0.0488281,0.964844,1.49536,2.44141,0.305176,,,
0.175781,-0.0449219,0.955078,1.40381,2.31934,0.274658,,,
0.167969,-0.0410156,0.964844,1.43433,2.31934,0.213623,,,
0.171875,-0.0390625,0.958984,1.58691,2.34985,0.244141,,,
0.158203,-0.0449219,0.960938,1.5564,2.19727,0.12207,,,
0.183594,-0.0214844,0.955078,1.58691,2.19727,0.0610352,,,
0.160156,-0.0273438,0.962891,1.5564,2.16675,0.213623,,,
0.179688,-0.0332031,0.941406,1.43433,2.0752,0.152588,,,
0.183594,-0.046875,0.964844,1.40381,2.28882,0.0610352,,,
0.183594,-0.0429688,0.949219,1.67847,2.34985,0.213623,,,
0.175781,-0.0429688,0.957031,1.49536,2.31934,-0.0305176,,,
0.175781,-0.03125,0.957031,1.28174,2.53296,0.213623,,,
0.183594,-0.015625,0.941406,1.64795,2.41089,0.213623,,,
0.167969,-0.0273438,0.966797,1.67847,2.2583,0.396729,,,
0.15625,-0.03125,0.957031,1.70898,2.38037,0.152588,,,
0.175781,-0.0351562,0.964844,1.61743,2.44141,0.213623,,,
0.15625,-0.0390625,0.945312,1.46484,2.47192,0.213623,,,
0.183594,-0.0390625,0.962891,1.40381,2.28882,0.183105,,,
0.15625,-0.0273438,0.96875,1.34277,2.19727,0.152588,,,
0.15625,-0.0429688,0.9375,1.49536,2.16675,0.213623,,,
0.183594,-0.0195312,0.960938,1.7395,2.41089,0.213623,,,
0.171875,-0.0234375,0.958984,1.61743,2.31934,0.213623,,,
0.167969,-0.0292969,0.966797,1.70898,2.19727,0.12207,,,
0.175781,-0.0410156,0.960938,1.61743,2.22778,0.244141,,,
0.160156,-0.0429688,0.962891,1.49536,2.47192,0.335693,,,
0.175781,-0.03125,0.957031,1.28174,2.19727,0.152588,,,
0.15625,-0.0195312,0.966797,1.58691,2.28882,0.152588,,,
0.183594,-0.0273438,0.955078,1.89209,2.19727,0.305176,,,
0.183594,-0.0390625,0.951172,1.89209,2.44141,0.213623,,,
0.164062,-0.0390625,0.9375,1.5564,2.28882,0.152588,,,
0.175781,-0.03125,0.962891,1.37329,2.34985,0.152588,,,
0.183594,-0.0273438,0.949219,-1.49536,-1.58691,-0.0305176,,,
0.183594,-0.03125,0.964844,-11.9934,-33.9661,29.9377,,,
0.205078,-0.0273438,1.01367,-22.0642,-41.7786,112.091,,,
0.208984,-0.0839844,0.955078,1.2207,-17.6697,151.825,,,
0.164062,0.0410156,0.894531,21.7896,8.48389,177.094,,,
0.197266,0.078125,0.992188,-8.11768,4.79126,93.6279,,,
0.224609,0.0839844,0.894531,13.6719,-0.152588,-16.1743,,,
0.201172,-0.0449219,0.9375,-0.88501,5.24902,-0.457764,,,
0.330078,-0.0800781,1.10547,2.53296,1.64795,0.183105,,,
0.242188,-0.125,0.966797,1.77002,2.2583,0.366211,,,
0.167969,0.0195312,0.953125,-0.88501,-2.68555,5.95093,,,
-0.107422,-0.128906,0.980469,11.261,41.4429,9.91821,,,
0.34375,0.150391,1.05664,93.8721,64.8499,-19.4397,,,
0.320312,0.136719,1.17383,118.622,52.1851,-37.4756,,,
0.126953,-0.392578,0.998047,134.613,26.9165,25.0549,,,
-0.355469,-0.154297,0.767578,35.7056,6.28662,69.2749,,,
0.164062,0.0371094,0.90625,31.6467,27.8625,99.8535,,,
0.126953,-0.205078,1.22852,85.6323,35.9802,107.3,,,
-0.113281,-0.273438,1.02539,118.408,77.7588,93.75,,,
0.228516,-0.205078,1.01953,159.637,59.5703,57.9834,,,
0.15625,-0.289062,0.863281,123.596,30.5481,20.813,,,
-0.382812,-0.121094,0.730469,60.4248,44.1895,-4.21143,,,
-0.400391,-0.128906,1.07031,137.573,79.6814,-12.8784,,,
-0.453125,-0.419922,1.31641,235.229,116.669,-6.74438,,,
-0.417969,-0.078125,0.789062,129.333,60.4248,-37.384,,,
0.166016,-0.189453,1.0957,19.3787,96.8628,46.7834,,,
0.160156,0.207031,1.4082,38.0859,25.6653,8.5144,,,
-0.148438,-0.361328,0.769531,-13.7634,10.5896,-11.6882,,,
-0.189453,-0.265625,0.673828,-56.4575,17.6697,-22.522,,,
-0.667969,-0.580078,0.888672,-27.8625,28.2593,-13.8855,,,
-0.427734,-0.46875,0.853516,-4.85229,40.5884,10.1624,,,
-0.335938,-0.292969,0.929688,-9.33838,55.2979,14.7705,,,
-0.332031,-0.179688,0.957031,-10.8032,52.3682,-17.0288,,,
-0.251953,-0.287109,0.935547,-35.1257,56.488,-33.4167,,,
-0.240234,-0.363281,0.839844,-94.574,71.106,-42.3889,,,
-0.173828,-0.320312,0.828125,-120.3,74.9817,-60.5164,,,
-0.164062,-0.347656,0.916016,-93.75,70.282,-48.2483,,,
-0.28125,-0.400391,1.01758,-40.6494,72.052,6.74438,,,
-0.316406,-0.419922,1.04688,-17.395,97.8088,58.3191,,,
-0.216797,-0.488281,0.951172,-28.4119,116.76,85.6934,,,
-0.191406,-0.609375,0.902344,-79.7729,137.36,94.3909,,,
-0.0175781,-0.708984,0.816406,-105.652,162.567,81.2378,,,
,,,,,,2017-4-3	17:4:56,30,0
-0.285156,-0.720703,0.703125,-112.213,-8.08716,12.5122,,,
-0.273438,-0.839844,0.613281,-83.5266,19.6838,17.4866,,,
-0.203125,-0.708984,0.59375,-54.6875,47.3328,12.6038,,,
-0.376953,-0.462891,0.570312,-23.0103,61.7676,19.5618,,,
-0.498047,-1.01172,0.515625,49.6216,112.335,79.01,,,
-0.328125,-1.05859,0.417969,69.397,198.639,178.955,,,
-0.150391,-0.886719,0.175781,-34.2712,230.377,246.124,,,
0.300781,-0.708984,0.513672,26.062,192.505,203.522,,,
0.722656,-0.103516,0.667969,72.5098,68.1763,112.671,,,
-0.0605469,-0.835938,0.517578,-120.941,2.2583,-74.5239,,,
-0.216797,-0.800781,0.466797,-169.891,-65.2161,-114.777,,,
-0.292969,-0.796875,0.443359,-118.164,-44.7693,-44.0674,,,
-0.367188,-0.787109,0.513672,-91.0339,9.21631,18.7378,,,
-0.0683594,-0.576172,0.222656,-117.432,22.6135,23.0408,,,
-0.107422,-0.863281,0.191406,-92.2241,47.9126,0.0305176,,,
